phenotype,code,type,A,B,C,D,E,F,G,H,I,J
Pulse rate,102,numerical,bpm,,,,,,,,,
Forced vital capacity,3062,numerical,litres,,,,,,,,,
Forced expiratory volume in 1-second,3063,numerical,litres,,,,,,,,,
Peak expiratory flow,3064,numerical,litres/min,,,,,,,,,
Diastolic blood pressure,4079,numerical,mmHg,,,,,,,,,
Systolic blood pressure,4080,numerical,mmHg,,,,,,,,,
Body mass index,23104,numerical,Kg/m2,,,,,,,,,
Potassium in urine,30520,numerical,millimole/L,,,,,,,,,
Sodium in urine,30530,numerical,millimole/L,,,,,,,,,
Albumin,30600,numerical,g/L,,,,,,,,,
Alanine aminotransferase,30620,numerical,U/L,,,,,,,,,
Aspartate aminotransferase,30650,numerical,U/L,,,,,,,,,
Urea,30670,numerical,mmol/L,,,,,,,,,
Creatinine,30700,numerical,umol/L,,,,,,,,,
C-reactive protein,30710,numerical,mg/L,,,,,,,,,
Cystatin C,30720,numerical,mg/L,,,,,,,,,
Gamma-glutamyl transferase,30730,numerical,U/L,,,,,,,,,
Glucose,30740,numerical,mmol/L,,,,,,,,,
Glycated haemoglobin,30750,numerical,mmol/mol,,,,,,,,,
HDL,30760,numerical,mmol/L,,,,,,,,,
LDL,30780,numerical,mmol/L,,,,,,,,,
Phosphate,30810,numerical,mmol/L,,,,,,,,,
Total bilirubin,30840,numerical,umol/L,,,,,,,,,
Triglycerides,30870,numerical,mmol/L,,,,,,,,,
White blood cell count,30000,numerical,10^9 cells/Litre,,,,,,,,,
Red blood cell count,30010,numerical,cells/Litre,,,,,,,,,
Platelet count,30080,numerical,10^9 cells/Litre,,,,,,,,,
A levels/AS levels or equivalent,6138,category,0:No,1:Yes,,,,,,,,
Age first had sexual intercourse,,numerical,years
Alcohol drinker status,20117,category,0:Never,1:Previous,2:Current,2:Current,,,,,,
Alcohol intake frequency.,1558,category,1:Daily or almost daily,2:Three or four times a week,3:Once or twice a week,4:One to three times a month,5:Special occasions only,6:Never,,,,
Average 16-hour sound level of noise pollution,24023,numerical,dB,,,,,,,,,
Average 24-hour sound level of noise pollution,24024,numerical,dB,,,,,,,,,
Average daytime sound level of noise pollution,24020,numerical,dB,,,,,,,,,
Average evening sound level of noise pollution,24021,numerical,dB,,,,,,,,,
Average night-time sound level of noise pollution,24022,numerical,dB,,,,,,,,,
Average total household income before tax,738,category,"1:Less than 18,000","2:18,000 to 30,999","3:31,000 to 51,999","4:52,000 to 100,000","5:Greater than 100,000",,,,,
Beef intake,1369,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Bread intake,1438,numerical,slices/week,,,,,,,,,
Brother and/or sister,6141,category,0:No,1:Yes,,,,,,,,
CSEs or equivalent,6138,category,0:No,1:Yes,,,,,,,,
Calcium_ukb_Modifiable_categorical_bl_data,6179,category,0:No,1:Yes,,,,,,,,
Cereal intake,1458,numerical,bowls/week,,,,,,,,,
Cheese intake,1408,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Chronotype,1180,category,1:Definitely a 'morning' person,2:More a 'morning' than 'evening' person,3:More an 'evening' than a 'morning' person,4:Definitely an 'evening' person,,,,,,
Coffee intake,1498,numerical,cups/day,,,,,,,,,
College or University degree,6138,category,0:No,1:Yes,,,,,,,,
Cooked vegetable intake,1289,numerical,tablespoons/day,,,,,,,,,
Daytime dozing,1220,category,0:Never/rarely,1:Sometimes,2:Often,3:All of the time,,,,,,
Doing unpaid or voluntary work,6142,category,0:No,1:Yes,,,,,,,,
"Domestic garden percentage, buffer 1000m",24501,numerical,percent,,,,,,,,,
"Domestic garden percentage, buffer 300m",24504,numerical,percent,,,,,,,,,
Dried fruit intake,1319,numerical,pieces/day,,,,,,,,,
Duration of walks,874,numerical,minutes/day,,,,,,,,,
Fish oil,6179,category,0:No,1:Yes,,,,,,,,
Folic acid,6155,category,0:No,1:Yes,,,,,,,,
Fresh fruit intake,1309,numerical,pieces/day,,,,,,,,,
Full or part-time student,6142,category,0:No,1:Yes,,,,,,,,
Getting up in morning,1170,category,1:Not at all easy,2:Not very easy,3:Fairly easy,4:Very easy,,,,,,
Glucosamine,6179,category,0:No,1:Yes,,,,,,,,
Grandchild,6141,category,0:No,1:Yes,,,,,,,,
Grandparent,6141,category,0:No,1:Yes,,,,,,,,
"Greenspace percentage, buffer 1000m",24500,numerical,percent,,,,,,,,,
"Greenspace percentage, buffer 300m",24503,numerical,percent,,,,,,,,,
"Husband, wife or partner",6141,category,0:No,1:Yes,,,,,,,,
IPAQ activity group,22032,category,0:low,1:moderate,2:high,,,,,,,
In paid employment or self-employed,6142,category,0:No,1:Yes,,,,,,,,
Inverse distance to the nearest major road,24012,numerical,1/metres,,,,,,,,,
Iron,6179,category,0:No,1:Yes,,,,,,,,
Lamb intake,1379,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Looking after home and/or family,6142,category,0:No,1:Yes,,,,,,,,
MET minutes per week for moderate activity,22038,numerical,minutes/week,,,,,,,,,
MET minutes per week for vigorous activity,22039,numerical,minutes/week,,,,,,,,,
MET minutes per week for walking,22037,numerical,minutes/week,,,,,,,,,
Milk type used,1418,category,1:Full cream,2:Semi-skimmed,3:Skimmed,4:Soya,5:Other type of milk,6:Never/rarely have milk,,,,
Mother and/or father,6141,category,0:No,1:Yes,,,,,,,,
Multivitamins,6155,category,0:No,1:Yes,,,,,,,,
NVQ or HND or HNC or equivalent,6138,category,0:No,1:Yes,,,,,,,,
Nap during day,1190,category,1:Never/rarely,2:Sometimes,3:Usually,,,,,,,
"Natural environment percentage, buffer 1000m",24506,numerical,percent,,,,,,,,,
"Natural environment percentage, buffer 300m",24507,numerical,percent,,,,,,,,,
Nitrogen dioxide air pollution; 2005,24016,numerical,micro-g/m3,,,,,,,,,
Nitrogen dioxide air pollution; 2006,24017,numerical,micro-g/m3,,,,,,,,,
Nitrogen dioxide air pollution; 2007,24018,numerical,micro-g/m3,,,,,,,,,
Nitrogen dioxide air pollution; 2010,24003,numerical,micro-g/m3,,,,,,,,,
Nitrogen oxides air pollution; 2010,24004,numerical,micro-g/m3,,,,,,,,,
Non-oily fish intake,1339,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
O levels/GCSEs or equivalent,6138,category,0:No,1:Yes,,,,,,,,
Oily fish intake,1329,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Other professional qualifications,6138,category,0:No,1:Yes,,,,,,,,
Other related,6141,category,0:No,1:Yes,,,,,,,,
Particulate matter air pollution (pm10); 2007,24019,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm10); 2010,24005,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm2.5) absorbance; 2010,24007,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm2.5); 2010,24006,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution 2.5-10um; 2010,24008,numerical,micro-g/m3,,,,,,,,,
Pork intake,1389,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Poultry intake,1359,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Processed meat intake,1349,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Raw vegetable intake,1299,numerical,tablespoons/day,,,,,,,,,
Retired,6142,category,0:No,1:Yes,,,,,,,,
Salt added to food,1478,category,1:Never/rarely,2:Sometimes,3:Usually,4:Always,,,,,,
Selenium,6179,category,0:No,1:Yes,,,,,,,,
Sleep duration,1160,numerical,hours/day,,,,,,,,,
Sleeplessness,1200,category,1:Never/rarely,2:Sometimes,3:Usually,,,,,,,
Smoking status,20116,category,0:Never,1:Previous,2:Current,,,,,,,
Snoring,1210,category,2:No,1:Yes,,,,,,,,
Son and/or daughter,6141,category,0:No,1:Yes,,,,,,,,
Spread type,1428,category,0:Never/rarely use spread,1:Butter/spreadable butter,2:Flora Pro-Active/Benecol,3:Other type of spread/margarine,,,,,,
Sum of road length of major roads within 100m,24015,numerical,metres,,,,,,,,,
Summed MET minutes per week for all activity,22040,numerical,minutes/week,,,,,,,,,
Summed minutes activity,22034,numerical,minutes,,,,,,,,,
Tea intake,1488,numerical,cups/day,,,,,,,,,
Total traffic load on major roads,24013,numerical,vehicles/day,,,,,,,,,
Townsend deprivation index,189,numerical,,,,,,,,,,
Traffic intensity on the nearest major road,24011,numerical,vehicles/day,,,,,,,,,
Unable to work because of sickness or disability,6142,category,0:No,1:Yes,,,,,,,,
Unemployed,6142,category,0:No,1:Yes,,,,,,,,
Usual walking pace,924,category,1:Slow pace,2:Steady pace,3:Brisk pace,,,,,,,
Variation in diet,1548,category,1:Never/rarely,2:Sometimes,3: Often,,,,,,,
Vitamin A,6155,category,0:No,1:Yes,,,,,,,,
Vitamin B,6155,category,0:No,1:Yes,,,,,,,,
Vitamin C,6155,category,0:No,1:Yes,,,,,,,,
Vitamin D_ukb_Modifiable_categorical_bl_data,6155,category,0:No,1:Yes,,,,,,,,
Vitamin E,6155,category,0:No,1:Yes,,,,,,,,
Water intake,1528,numerical,glasses/day,,,,,,,,,
"Water percentage, buffer 1000m",24502,numerical,percent,,,,,,,,,
"Water percentage, buffer 300m",24505,numerical,percent,,,,,,,,,
Zinc,6179,category,0:No,1:Yes,,,,,,,,
Mean platelet volume,30100,numerical,fL,,,,,,,,,
Alkaline phosphatase,30610,numerical,U/L,,,,,,,,,
Cholesterol,30690,numerical,mmol/L,,,,,,,,,
HDL Cholesterol,30760,numerical,mmol/L,,,,,,,,,
LDL Cholesterol,30780,numerical,mmol/L,,,,,,,,,
